sample,hifi_dir,hic_dir,version,date,tolid,taxid
OG107,/scratch/pawsey0812/lhuet/reference/OG107/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG107/data/hic/,hic1,v240418,OG107,334902
OG105,/scratch/pawsey0812/lhuet/reference/OG105/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG105/data/hic/,hic1,v231027,OG105,166262
OG108,/scratch/pawsey0812/lhuet/reference/OG108/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG108/data/hic/,hic1,v231027,OG108,382509
OG113,/scratch/pawsey0812/lhuet/reference/OG113/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG113/data/hic/,hic1,v231027,OG113,1329242
OG114,/scratch/pawsey0812/lhuet/reference/OG114/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG114/data/hic/,hic1,v240116,OG114,1230797
OG115,/scratch/pawsey0812/lhuet/reference/OG115/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG115/data/hic/,hic1,v240125,OG115,215407
OG645,/scratch/pawsey0812/lhuet/reference/OG645/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG645/data/hic/,hic1,v240427,OG645,8241
OG647,/scratch/pawsey0812/lhuet/reference/OG647/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG647/data/hic/,hic1,v240501,OG647,443693
OG759,/scratch/pawsey0812/lhuet/reference/OG759/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG759/data/hic/,hic1,v240520,OG759,1609310
OG777,/scratch/pawsey0812/lhuet/reference/OG777/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG777/data/hic/,hic1,v240520,OG777,392900
OG79,/scratch/pawsey0812/lhuet/reference/OG79/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG79/data/hic/,hic1,v240427,OG79,2485022
OG8,/scratch/pawsey0812/lhuet/reference/OG8/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG8/data/hic/,hic1,v230512,OG8,182655
OG820,/scratch/pawsey0812/lhuet/reference/OG820/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG820/data/hic/,hic1,v240501,OG820,80949
OG99,/scratch/pawsey0812/lhuet/reference/OG99/data/hifi/,/scratch/pawsey0812/lhuet/reference/OG99/data/hic/,hic1,v240215,OG99,334889
